,R_low_10_1,R_low_100_1,R_low_10M_1,R_low_10_100,R_low_100_100,R_low_10M_100,R_T_10_1,R_T_100_1,R_T_10M_1,R_T_10_100,R_T_100_100,R_T_10M_100
44,9.7673819255,102.23516255999999,818.65684479,11.271725953,76.433607319,109.71424672,3.2637612435000003,20.437371404,264.7931251,10.576051181,104.99004929,21815.70977
45,10.079660342000002,99.504095488,801.16369645,10.636498473,75.091970757,106.95510355000002,3.9508492478000004,20.080663035,255.38301998000003,10.790944316000001,105.1765048,21351.657342
46,10.518970157,102.32704881000001,784.28885899,10.928157508000002,73.545606938,104.54974472,4.217830849,19.544302177000002,246.54704248,10.652939864,104.62962564000001,20903.521217
47,9.9981468793,101.24676010000002,768.0890121300001,11.157344488,72.172415457,103.09398931000001,4.291708251,18.747631430000002,237.73780413,10.566863011,105.27684026000001,20479.781087000003
48,10.04476303,102.11064363999999,753.43210483,9.8211148725,74.78540283000001,102.52727407,3.9196839907000003,18.525751102,230.46044589,10.286458973,104.67419997,20068.804733
49,10.054816357,102.96237633,738.2842159100001,10.639187167,75.802981883,100.57353393000001,3.4711050034,18.415204295,223.31965738,10.286616998000001,105.19857824,19679.12307
50,10.304127045,102.9626128,723.99750934,10.545226132,74.29972811200001,98.19578735900001,3.666305588,17.880673795,215.87982701,10.721906847000001,105.73170584,19304.685993000003
51,11.014218444,102.99720998000001,710.5319673399999,10.815871292,72.561520028,93.047065093,3.8848628492,17.054537693,208.54618924000002,10.37789275,106.40394976,18950.391095000003
52,10.805476904,102.92366824000001,696.83170295,10.245054227,70.090050031,94.10692655400001,3.2318681065000003,16.684210777,202.19677026000002,10.279896969000001,105.3453434,18608.719110000002
53,10.840842606,102.58011571,684.9470082700001,10.833031183,67.47235147500001,91.37044799,4.1329110445,16.090119743000002,195.61493900000002,10.361111435,105.91227692000001,18281.583907
54,10.50211381,103.05496289000001,673.28997829,10.86228508,68.155040935,91.541724032,3.5367187934,15.424767525,190.57217287000003,10.154299162000001,105.45561963000002,17970.617628
