,x,low_V_f,low_V_f_100,T_V_f,T_V_f_100,pi_V_f,pi_V_f_100
1188,47520.0,-9.821540105497188,-10.967969522427572,-10.026249174412921,-11.514548937210009,-10.230620553112042,-13.981265888947014
1189,47560.0,-9.827632969919412,-10.97402860312477,-10.032604068791898,-11.52042437102507,-10.237504527873813,-13.989910840252673
1190,47600.0,-9.83398870198621,-10.980125819187458,-10.038578803750596,-11.527019103274576,-10.24370443668685,-13.999017772563542
1191,47640.0,-9.840552421293868,-10.985948550520295,-10.045527782353812,-11.53348797468026,-10.250670409590303,-14.007346705766698
1192,47680.0,-9.847331834491897,-10.992197293922064,-10.051971740501768,-11.539535541198148,-10.257483448106532,-14.01577071490937
1193,47720.0,-9.853562753504146,-10.99828156943224,-10.058474050215453,-11.545358469482572,-10.264165127329035,-14.02423802917665
1194,47760.0,-9.859926217969143,-11.004330595882815,-10.065169272463043,-11.55185080583496,-10.270652647574101,-14.033448115054002
1195,47800.0,-9.866443474017785,-11.010785698377287,-10.071602237827088,-11.557996383623674,-10.277167835357957,-14.041929428109846
1196,47840.0,-9.872567122761817,-11.016936388340955,-10.078265465412908,-11.564452110084423,-10.284059211795924,-14.050840532070485
1197,47880.0,-9.879282777362278,-11.023214840135033,-10.084327909710408,-11.57047322107806,-10.290598010290275,-14.05959749804417
1198,47920.0,-9.885598065883352,-11.02904626444772,-10.090960376957852,-11.57692252646833,-10.29750005469605,-14.068222079003942
1199,47960.0,-9.89137872084667,-11.035050364045366,-10.098155892365654,-11.582609500672012,-10.303698870237106,-14.076451445540958
1200,48000.0,-9.898298258926273,-11.041176739085099,-10.104559491287775,-11.588608815641777,-10.310053114927411,-14.085132745956987
1201,48040.0,-9.90445089165166,-11.047471819708958,-10.110962011089804,-11.594706698091112,-10.316816123675396,-14.093927649068483
1202,48080.0,-9.911149119572785,-11.053668883700805,-10.117121170413206,-11.601419120511775,-10.323485842957894,-14.101870307736196
1203,48120.0,-9.917259783163297,-11.059025126555145,-10.1234955959539,-11.60721277853104,-10.330052700078875,-14.110651304455912
1204,48160.0,-9.92339584505631,-11.06534981829481,-10.130115672189286,-11.613075355811125,-10.336473912131073,-14.119387258514159
1205,48200.0,-9.929923563997901,-11.07132906761466,-10.13637408139606,-11.61931669687583,-10.342530310150885,-14.127943728618053
1206,48240.0,-9.936073457453674,-11.077204014913102,-10.143998490259706,-11.625662219529731,-10.349373203427099,-14.136596937016668
1207,48280.0,-9.94301244249192,-11.083447373624969,-10.150165304429697,-11.631623200255385,-10.356183113330037,-14.145213261078899
1208,48320.0,-9.949343328899392,-11.089999613369546,-10.15623481914288,-11.637942138110946,-10.363028239785104,-14.15385794907024
1209,48360.0,-9.955643813353491,-11.096443494614427,-10.162971654261009,-11.644617833556197,-10.36966350998229,-14.162978544212603
1210,48400.0,-9.961847810578263,-11.102561294949824,-10.169143611509117,-11.650412670740158,-10.375716604540283,-14.171255879140258
1211,48440.0,-9.968358828387563,-11.1083495318326,-10.175330816100798,-11.656998896730567,-10.382109231174905,-14.179154373015665
