# V_set	I	V	t
# "V_appl"	"I_meas"	"V_appl"	"Elapsed time"
# 201
0.7	0.006913268	0.7	10.3513563
0.71	0.007000733	0.71	10.3825613
0.72	0.00709993	0.72	10.4136523
0.73	0.007197872	0.73	10.4444775
0.74	0.007297845	0.74	10.4934227
0.75	0.007385706	0.75	10.5228289
0.76	0.007494657	0.76	10.5537039
0.77	0.007596897	0.77	10.5849922
0.78	0.007696327	0.78	10.6163168
0.79	0.007794081	0.79	10.6647285
0.8	0.007902537	0.8	10.6938417
0.81	0.007993737	0.81	10.7255477
0.82	0.008009136	0.82	10.7559222
0.83	0.008105889	0.83	10.8183155
0.84	0.008207222	0.84	10.8821318
0.85	0.008303282	0.85	10.9260446
0.86	0.008405068	0.86	10.9731421
0.87	0.008501444	0.87	11.0357118
0.88	0.008600434	0.88	11.0817212
0.89	0.008699284	0.89	11.1608144
0.9	0.008798628	0.9	11.1890619
0.91	0.008897626	0.91	11.2497602
0.92	0.008996029	0.92	11.2975377
0.93	0.009098061	0.93	11.360076
0.94	0.009241113	0.94	11.4395709
0.95	0.009364505	0.95	11.4689896
0.96	0.009471929	0.96	11.4993407
0.97	0.00957566	0.97	11.5302758
0.98	0.009670751	0.98	11.560697
0.99	0.009768985	0.99	11.6093162
1	0.009880592	1	11.6387644
